epoch	flux
54422.986636	35821.5000000
54422.992563	35819.0195312
54422.998489	35882.9687500
54423.004415	35745.4765625
54423.010342	35673.2109375
54423.016268	35965.3203125
54423.022194	35768.5976562
54423.028121	35628.1562500
54423.034047	35612.3789062
54423.039973	35745.8750000
54423.045900	35770.0000000
54423.051826	35679.6953125
54423.057752	35777.1210938
54423.063679	35862.9414062
54423.069605	35680.8632812
54423.075531	35625.9453125
54423.081458	35633.5351562
54423.087384	35829.8359375
54423.093310	35624.8984375
54423.099237	35842.6328125
54423.105163	35682.5312500
54423.111089	35592.0312500
54423.117016	35902.9570312
54423.122942	35655.5664062
54423.128868	35714.1992188
54423.134795	35711.9531250
54423.140721	35713.3828125
54423.146647	35604.9648438
54423.152574	35837.0273438
54423.158500	35782.8828125
54423.164426	35915.4921875
54423.170353	35832.1523438
54423.176279	36039.1562500
54423.182205	35802.9453125
54423.188132	35873.7031250
54423.194058	35745.5351562
54423.199984	35849.3007812
54423.205911	35803.4375000
54423.211837	36141.2304688
54423.217763	35810.0273438
54423.223690	35837.1757812
54423.229616	35910.9648438
54423.235542	35885.0312500
54423.241469	36018.7187500
54423.247395	35854.9726562
54423.253321	35719.3593750
54423.259247	36020.7617188
54423.265174	35999.4804688
54423.271100	36154.2890625
54423.277026	35876.1093750
54423.282953	36082.5781250
54423.288879	36035.3593750
54423.294805	36254.0234375
54423.300732	36314.9257812
54423.306658	35974.8007812
54423.312584	36122.9492188
54423.318511	35988.9335938
54423.324437	35983.9257812
54423.330363	36087.8906250
54423.336290	36289.7968750
54423.342216	36105.7812500
54423.348142	36114.5312500
54423.354069	36166.1679688
54423.359995	36267.2226562
54423.365921	36320.5820312
54423.371848	36360.2578125
54423.377774	36232.3203125
54423.383700	36195.4921875
54423.389627	36263.8750000
54423.395553	36063.2187500
54423.401479	36331.2929688
54423.407406	36295.7929688
54423.413332	36194.6171875
54423.419258	36174.5703125
54423.425185	36548.1796875
54423.431111	36348.8867188
54423.437037	36363.9140625
54423.442964	36290.2304688
54423.448890	36553.6875000
54423.454816	36226.1289062
54423.460743	36489.4921875
54423.466669	36333.0195312
54423.472595	36462.7070312
54423.478522	36568.3593750
54423.484448	36387.9375000
54423.490374	36137.4765625
54423.496301	36390.6289062
54423.502227	36405.7656250
54423.508153	36354.3671875
54423.514080	36431.0039062
54423.520006	36563.3593750
54423.525932	36404.0820312
54423.531859	36386.3164062
54423.537785	36443.9179688
54423.543711	36499.7851562
54423.549638	36157.0273438
54423.555564	36446.8359375
54423.561490	36244.4453125
54423.567417	36440.1015625
54423.573343	36549.0859375
54423.579269	36495.4843750
54423.585196	36657.3007812
54423.591122	36326.7656250
54423.597048	36486.3632812
54423.602975	36333.3125000
54423.608901	36655.5273438
54423.614827	36344.9023438
54423.620754	36435.3007812
54423.626680	36547.0234375
54423.632606	36326.9335938
54423.638533	36558.2851562
54423.644459	36558.4882812
54423.650385	36675.1210938
54423.656312	36688.1523438
54423.662238	36851.1796875
54423.668164	36598.7929688
54423.674091	36673.9296875
54423.680017	36591.0156250
54423.685943	36638.2539062
54423.691870	36590.7226562
54423.697796	36657.1015625
54423.703722	36531.6796875
54423.709649	36560.1406250
54423.715575	36627.7187500
54423.721501	36713.9257812
54423.727428	36580.4179688
54423.733354	36603.3046875
54423.739280	36516.1210938
54423.745207	36985.1953125
54423.751133	36585.0390625
54423.757059	36520.0703125
54423.762986	36571.8242188
54423.768912	36617.3945312
54423.774838	36412.9609375
54423.780765	36342.7500000
54423.786691	36580.9882812
54423.792617	36503.2460938
54423.798544	36563.5859375
54423.804470	36440.4492188
54423.810396	36481.4570312
54423.816323	36424.7382812
54423.822249	36365.3750000
54423.828175	36341.6015625
54423.834102	36403.4765625
54423.840028	36449.9296875
54423.845954	36149.7734375
54423.851881	36365.5820312
54423.857807	36414.1914062
54423.863733	36245.6093750
54423.869659	36263.1171875
54423.875586	36390.9375000
54423.881512	36264.0468750
54423.887438	36480.1914062
54423.893365	36198.1562500
54423.899291	36101.2265625
54423.905217	36092.0156250
54423.911144	36092.7500000
54423.917070	36080.3789062
54423.922996	36125.0273438
54423.928923	36153.2500000
54423.934849	35972.5039062
54423.940775	36279.2460938
54423.946702	36104.9687500
54423.952628	36118.5156250
54423.958554	36089.8242188
54423.964481	35899.1171875
54423.970407	35927.5703125
54423.976333	35924.2968750
54423.982260	35890.0390625
54423.988186	35676.8554688
54423.994112	35880.3671875
54424.000039	36113.3945312
54424.005965	35839.1875000
54424.011891	35763.5390625
54424.017818	35846.8437500
54424.023744	35902.1484375
54424.029670	35831.9296875
54424.035597	35756.0468750
54424.041523	35683.0625000
54424.047449	35862.7304688
54424.053376	35784.0742188
54424.059302	35706.4140625
54424.065228	35738.2148438
54424.071155	35833.6523438
54424.077081	35760.1210938
54424.083007	35786.9296875
54424.088934	35944.2070312
54424.094860	35866.7500000
54424.100786	35726.6484375
54424.106713	35880.1914062
54424.112639	35721.1757812
54424.118565	35803.7578125
54424.124492	35864.3945312
54424.130418	35818.3242188
54424.136344	35667.9843750
54424.142271	35684.5039062
54424.148197	35983.9218750
54424.154123	35807.0195312
54424.160050	36036.6132812
54424.165976	35956.0625000
54424.171902	35901.1484375
54424.177828	36008.9335938
54424.183755	35981.9570312
54424.189681	36000.0000000
54424.195607	35955.6445312
54424.201534	36008.2734375
54424.207460	36057.4648438
54424.213386	35981.4257812
54424.219313	36105.6484375
54424.225239	36108.3515625
54424.231165	36116.1601562
54424.237092	36231.8359375
54424.243018	36184.2773438
54424.248944	36216.5742188
54424.254871	36468.3203125
54424.260797	36174.3554688
54424.266723	36329.4960938
54424.272650	36317.9804688
54424.278576	36279.7148438
54424.284502	36286.5078125
54424.290429	36313.3476562
54424.296355	36435.2734375
54424.302281	36361.1093750
54424.308208	36298.4804688
54424.314134	36385.9609375
54424.320060	36152.8398438
54424.325987	36176.8046875
54424.331913	36225.9257812
54424.337839	36394.4648438
54424.343766	36328.6132812
54424.349692	36132.1601562
54424.355618	36265.8125000
54424.361545	36259.6718750
54424.367471	36326.9257812
54424.373397	36304.0546875
54424.379324	36494.6132812
54424.385250	35987.9570312
54424.391176	36164.7226562
54424.397103	36297.2500000
54424.403029	36347.6210938
54424.408955	36366.0351562
54424.414882	36368.8085938
54424.420808	36316.4257812
54424.426734	36406.7382812
54424.432660	36416.3085938
54424.438587	36180.8593750
54424.444513	36374.5468750
54424.450439	36291.0078125
54424.456366	36293.1718750
54424.462292	36155.0664062
54424.468218	36232.3867188
54424.474145	36257.6562500
54424.480071	36340.4804688
54424.485997	36311.2226562
54424.491924	36091.5039062
54424.497850	36367.3242188
54424.503776	36364.8359375
54424.509703	36232.2617188
54424.515629	36287.6914062
54424.521555	36469.3515625
54424.527482	36321.9570312
54424.533408	36245.1328125
54424.539334	36336.5117188
54424.545261	36259.0390625
54424.551187	36371.6562500
54424.557113	36151.8515625
