epoch	flux
54533.415423	27138.7050781
54533.421349	27418.3847656
54533.427274	27381.1542969
54533.433200	27328.3691406
54533.439125	27412.5390625
54533.445051	27411.0292969
54533.450976	27394.4179688
54533.456901	27286.9296875
54533.462827	27651.3144531
54533.468752	27313.5351562
54533.474678	27366.9960938
54533.480603	27486.3378906
54533.486529	27442.3457031
54533.492454	27262.6718750
54533.498379	27331.9589844
54533.504305	27237.6933594
54533.510230	27286.7558594
54533.516156	27297.6132812
54533.522081	27344.7207031
54533.528007	27326.8437500
54533.533932	27423.3808594
54533.539857	27338.8496094
54533.545783	27454.0664062
54533.551708	27318.1660156
54533.557634	27379.7089844
54533.563559	27398.0117188
54533.569485	27485.1835938
54533.575410	27405.6171875
54533.581335	27442.4902344
54533.587261	27650.6386719
54533.593186	27345.2441406
54533.599112	27457.6113281
54533.605037	27576.5605469
54533.610963	27512.3398438
54533.616888	27552.8320312
54533.622813	27570.2050781
54533.628739	27971.2128906
54533.634664	27769.8281250
54533.640590	27816.2089844
54533.646515	27728.9472656
54533.652441	27890.7031250
54533.658366	27681.8320312
54533.664291	27760.1445312
54533.670217	27731.4101562
54533.676142	27997.8417969
54533.682068	27849.8046875
54533.687993	27900.1347656
54533.693919	27882.9882812
54533.699844	27928.3867188
54533.705769	27975.9121094
54533.711695	28138.1367188
54533.717620	27916.2675781
54533.723546	27995.3144531
54533.729471	28075.6406250
54533.735397	27918.3007812
54533.741322	27973.5898438
54533.747247	28082.3574219
54533.753173	28069.3183594
54533.759098	28176.3144531
54533.765024	28151.6621094
54533.770949	28128.6328125
54533.776875	28069.6914062
54533.782800	28188.8789062
54533.788725	28274.6816406
54533.794651	28316.8105469
54533.800576	28022.2734375
54533.806502	28185.2832031
54533.812427	28270.8300781
54533.818353	28123.6582031
54533.824278	28211.7558594
54533.830203	28288.9121094
54533.836129	28252.3476562
54533.842054	28248.5859375
54533.847980	28367.7773438
54533.853905	28357.7910156
54533.859831	28289.1210938
54533.865756	28243.5039062
54533.871681	28360.5390625
54533.877607	28153.7558594
54533.883532	28271.3671875
54533.889458	28246.0625000
54533.895383	28343.5292969
54533.901309	28320.6816406
54533.907234	28455.6445312
54533.913159	28328.4433594
54533.919085	28403.7871094
54533.925010	28618.0351562
54533.930936	28389.0546875
54533.936861	28305.4277344
54533.942787	28290.4023438
54533.948712	28243.5839844
54533.954637	28203.8105469
54533.960563	28303.4335938
54533.966488	28398.7968750
54533.972414	28372.6699219
54533.978339	28336.8925781
54533.984265	28342.6289062
54533.990190	28347.6347656
54533.996115	28463.5195312
54534.002041	28374.5097656
54534.007966	28503.1855469
54534.013892	28457.6875000
54534.019817	28450.1777344
54534.025743	28434.7246094
54534.031668	28528.5664062
54534.037593	28794.4746094
54534.043519	28507.5214844
54534.049444	28451.3925781
54534.055370	28360.1367188
54534.061295	28355.3574219
54534.067221	28437.9628906
54534.073146	28197.1953125
54534.079071	28421.5800781
54534.084997	28426.8593750
54534.090922	28651.8750000
54534.096848	28557.1152344
54534.102773	28557.2109375
54534.108699	28757.5214844
54534.114624	28527.4082031
54534.120549	28430.7089844
54534.126475	28588.9511719
54534.132400	28603.7363281
54534.138326	28644.3632812
54534.144251	28603.6582031
54534.150177	28679.5585938
54534.156102	28697.0253906
54534.162027	28828.5664062
54534.167953	28794.4355469
54534.173878	28663.3886719
54534.179804	28882.3652344
54534.185729	28795.2207031
54534.191655	28924.1289062
54534.197580	28879.6367188
54534.203505	28743.0195312
54534.209431	28718.1230469
54534.215356	28646.9609375
54534.221282	28628.9042969
54534.227207	28536.3007812
54534.233133	28665.2070312
54534.239058	28538.3476562
54534.244983	28569.1972656
54534.250909	28423.3847656
54534.256834	28478.4082031
54534.262760	28599.7187500
54534.268685	28547.9433594
54534.274611	28443.7988281
54534.280536	28382.1503906
54534.286461	28462.3105469
54534.292387	28413.8359375
54534.298312	28437.0136719
54534.304238	28470.6406250
54534.310163	28329.5703125
54534.316089	28266.3085938
54534.322014	28735.7558594
54534.327939	28213.6835938
54534.333865	28311.7558594
54534.339790	28003.4394531
54534.345716	28351.6835938
54534.351641	28100.2421875
54534.357567	28172.6835938
54534.363492	28166.9746094
54534.369417	28199.9843750
54534.375343	28208.3886719
54534.381268	28113.6425781
54534.387194	28266.1250000
54534.393119	28208.8496094
54534.399045	28295.0976562
54534.404970	28289.5410156
54534.410895	28383.9960938
54534.416821	28366.3242188
54534.422746	28115.2128906
54534.428672	28501.3242188
54534.434597	28381.2597656
54534.440522	28514.9609375
54534.446448	28509.4453125
54534.452373	28491.5488281
54534.458299	28369.5312500
54534.464224	28260.5546875
54534.470150	28231.4570312
54534.476075	28420.6679688
54534.482000	28346.6171875
54534.487926	28180.1953125
54534.493851	28228.0449219
54534.499777	28264.4648438
54534.505702	28081.9609375
54534.511628	28260.9765625
54534.517553	28323.8613281
54534.523478	28333.3906250
54534.529404	28119.8496094
54534.535329	28188.8164062
54534.541255	28160.4492188
54534.547180	28139.3476562
54534.553106	28312.7441406
54534.559031	28259.4414062
54534.564956	28150.7890625
54534.570882	28264.6796875
54534.576807	28300.8652344
54534.582733	28350.2441406
54534.588658	28457.4355469
54534.594584	28282.5546875
54534.600509	28083.7304688
54534.606434	28682.8281250
54534.612360	28164.5996094
54534.618285	28266.8710938
54534.624211	28228.3730469
54534.630136	28218.9570312
54534.636062	28170.1035156
54534.641987	28218.2382812
54534.647912	29043.7441406
54534.653838	28173.9160156
54534.659763	28485.7363281
54534.665689	28360.6796875
54534.671614	27927.7675781
54534.677540	28100.2031250
54534.683465	28071.0781250
