epoch	flux
54397.442724	87473.9218750
54397.448651	87793.6250000
54397.454577	87689.4140625
54397.460504	87707.5078125
54397.466430	87748.4218750
54397.472357	87534.9687500
54397.478283	87597.1093750
54397.484209	87378.8593750
54397.490136	87562.7031250
54397.496062	87740.6171875
54397.501989	87654.4062500
54397.507915	87687.7187500
54397.513842	87709.5078125
54397.519768	87531.7968750
54397.525695	87766.0468750
54397.531621	87601.2812500
54397.537548	87698.9140625
54397.543474	87829.8437500
54397.549400	87556.7265625
54397.555327	87703.7187500
54397.561253	87721.2109375
54397.567180	87621.3281250
54397.573106	87767.2343750
54397.579033	87518.9453125
54397.584959	87623.6406250
54397.590886	87889.3593750
54397.596812	87763.5625000
54397.602738	87833.8593750
54397.608665	87658.9218750
54397.614591	87629.2578125
54397.620518	87703.4687500
54397.626444	87659.4687500
54397.632371	87743.3359375
54397.638297	87705.0468750
54397.644224	87751.6015625
54397.650150	87744.6484375
54397.656076	87844.7265625
54397.662003	87783.8515625
54397.667929	87840.2968750
54397.673856	87725.1640625
54397.679782	87533.3593750
54397.685709	87824.7031250
54397.691635	87590.2890625
54397.697562	87887.7500000
54397.703488	87725.2812500
54397.709415	87712.0781250
54397.715341	87602.5546875
54397.721267	87620.7265625
54397.727194	87744.0234375
54397.733120	87651.0000000
54397.739047	87791.7343750
54397.744973	87788.5937500
54397.750900	87675.1484375
54397.756826	87529.6484375
54397.762753	87669.5546875
54397.768679	87911.4687500
54397.774605	87578.6093750
54397.780532	87800.6796875
54397.786458	87865.9531250
54397.792385	87711.1562500
54397.798311	87499.2656250
54397.804238	87855.2578125
54397.810164	87724.1562500
54397.816091	87604.8984375
54397.822017	87597.7109375
54397.827943	87852.7500000
54397.833870	87828.3515625
54397.839796	87734.6093750
54397.845723	87732.8203125
54397.851649	87827.0000000
54397.857576	87734.8437500
54397.863502	87672.4062500
54397.869429	87634.2968750
54397.875355	87711.3750000
54397.881282	87850.3359375
54397.887208	87853.5078125
54397.893134	87724.9375000
54397.899061	87649.1093750
54397.904987	87589.6328125
54397.910914	87882.5468750
54397.916840	87730.3281250
54397.922767	87722.4218750
54397.928693	87872.0000000
54397.934620	87661.1406250
54397.940546	87881.0468750
54397.946472	87758.2421875
54397.952399	87607.9218750
54397.958325	88018.5703125
54397.964252	87764.5390625
54397.970178	87620.5312500
54397.976105	87486.3515625
54397.982031	87714.3750000
54397.987958	87805.2109375
54397.993884	87830.3671875
54397.999811	87922.4843750
54398.005737	87737.2109375
54398.011663	87812.5781250
54398.017590	87875.3046875
54398.023516	87974.1484375
54398.029443	87796.8828125
54398.035369	87675.8750000
54398.041296	87618.0312500
54398.047222	87704.3203125
54398.053149	87660.0937500
54398.059075	87750.4140625
54398.065001	87706.5625000
54398.070928	88055.7187500
54398.076854	87777.5625000
54398.082781	87633.4843750
54398.088707	87563.5781250
54398.094634	87894.8437500
54398.100560	88001.2812500
54398.106487	87779.2109375
54398.112413	87821.9062500
54398.118339	87675.1328125
54398.124266	87528.5625000
54398.130192	87718.3593750
54398.136119	87755.7265625
54398.142045	87779.5468750
54398.147972	87753.5312500
54398.153898	87752.9453125
54398.159825	87721.2187500
54398.165751	87671.6406250
54398.171677	87787.5000000
54398.177604	87857.7656250
54398.183530	87734.3750000
54398.189457	87584.7109375
54398.195383	87801.7187500
54398.201310	87626.9062500
54398.207236	87630.2500000
54398.213163	87880.4218750
54398.219089	87815.3906250
54398.225016	87732.0468750
54398.230942	87844.7734375
54398.236868	87742.8671875
54398.242795	88014.8203125
54398.248721	87695.8828125
54398.254648	87586.6953125
54398.260574	87787.6406250
54398.266501	87743.6953125
54398.272427	87718.6875000
54398.278354	87749.8750000
54398.284280	87857.2890625
54398.290206	87525.4375000
54398.296133	87625.7890625
54398.302059	87663.9921875
54398.307986	87674.2500000
54398.313912	87722.4765625
54398.319839	87761.8828125
54398.325765	87684.1093750
54398.331692	87764.8984375
54398.337618	87771.6718750
54398.343544	87811.9062500
54398.349471	87862.3906250
54398.355397	87711.1640625
54398.361324	87806.6562500
54398.367250	87644.0625000
54398.373177	87588.9609375
54398.379103	87580.8906250
54398.385030	87714.6406250
54398.390956	87688.5156250
54398.396882	87910.4843750
54398.402809	87698.9687500
54398.408735	87715.6484375
54398.414662	87876.7968750
54398.420588	87703.8593750
54398.426515	87609.6718750
54398.432441	87715.9843750
54398.438368	87703.3281250
54398.444294	87695.7734375
54398.450221	88014.0234375
54398.456147	87789.3906250
54398.462073	87643.1250000
54398.468000	87619.1171875
54398.473926	87939.4453125
54398.479853	87490.2890625
54398.485779	87861.4296875
54398.491706	87766.2578125
54398.497632	87748.1015625
54398.503559	87545.3750000
54398.509485	87754.2187500
54398.515411	87647.6015625
54398.521338	88016.7265625
54398.527264	87771.3125000
54398.533191	87574.0703125
54398.539117	87911.0234375
54398.545044	87675.5156250
54398.550970	87463.9687500
54398.556897	87616.0781250
54398.562823	87625.6875000
54398.568749	87737.6718750
54398.574676	87765.2500000
54398.580602	87621.7187500
54398.586529	87618.4921875
54398.592455	87627.9140625
54398.598382	87836.0625000
54398.604308	87794.6250000
54398.610235	87808.9765625
54398.616161	87626.4296875
54398.622087	87543.9765625
54398.628014	87637.9453125
54398.633940	87671.5859375
54398.639867	87634.1328125
54398.645793	87716.7187500
54398.651720	87525.3437500
54398.657646	87663.7265625
54398.663573	87808.1328125
54398.669499	87732.7500000
54398.675425	87699.5625000
54398.681352	87659.4687500
54398.687278	87583.6015625
54398.693205	87648.6328125
54398.699131	87415.5546875
54398.705058	87777.6875000
54398.710984	87719.2109375
54398.716911	87908.1171875
54398.722837	87742.8828125
54398.728763	87651.7656250
54398.734690	87637.1406250
54398.740616	87817.9531250
54398.746543	87658.3593750
54398.752469	87791.0625000
54398.758396	87565.2187500
54398.764322	87587.3203125
54398.770249	87720.6484375
