epoch	flux
54236.757648	75564.1093750
54236.763574	75574.5703125
54236.769501	75547.4140625
54236.775427	75688.3281250
54236.781354	75712.5390625
54236.787280	75715.8359375
54236.793206	75610.5390625
54236.799133	75631.9140625
54236.805059	75519.1250000
54236.810986	75707.9531250
54236.816912	75595.9218750
54236.822839	75552.0703125
54236.828765	75752.1093750
54236.834691	75509.9609375
54236.840618	75736.6015625
54236.846544	75725.0234375
54236.852471	75600.7578125
54236.858397	75634.0234375
54236.864323	75518.4375000
54236.870250	75583.3828125
54236.876176	75663.7890625
54236.882103	75581.4218750
54236.888029	75633.0625000
54236.893955	75731.9062500
54236.899882	75597.4687500
54236.905808	75698.5937500
54236.911735	75636.2656250
54236.917661	75729.9921875
54236.923588	75625.3046875
54236.929514	75652.8437500
54236.935440	75984.9687500
54236.941367	75637.8515625
54236.947293	75482.5078125
54236.953220	75592.0390625
54236.959146	75682.3671875
54236.965072	75562.6875000
54236.970999	75497.5625000
54236.976925	75713.3359375
54236.982852	75612.8750000
54236.988778	75754.1171875
54236.994704	75664.5625000
54237.000631	75795.7421875
54237.006557	75629.6250000
54237.012484	75574.8671875
54237.018410	75768.5781250
54237.024337	75719.1406250
54237.030263	75597.9375000
54237.036189	75534.0312500
54237.042116	75710.8359375
54237.048042	75625.8203125
54237.053969	75557.6640625
54237.059895	75535.5703125
54237.065821	75723.7734375
54237.071748	75581.7578125
54237.077674	75593.7187500
54237.083601	75666.2265625
54237.089527	75791.6796875
54237.095453	75355.8046875
54237.101380	75676.9921875
54237.107306	75486.9687500
54237.113233	75495.6796875
54237.119159	75715.3203125
54237.125086	75684.7890625
54237.131012	75752.4609375
54237.136938	75688.8203125
54237.142865	75542.2578125
54237.148791	75551.2343750
54237.154718	75621.2343750
54237.160644	75486.8437500
54237.166570	75447.2968750
54237.172497	75763.7421875
54237.178423	75569.7890625
54237.184350	75601.8125000
54237.190276	75572.3984375
54237.196202	75481.5859375
54237.202129	75678.4062500
54237.208055	75675.1640625
54237.213982	75548.8281250
54237.219908	75637.8593750
54237.225835	75747.3359375
54237.231761	75765.1562500
54237.237687	75599.2656250
54237.243614	75569.1718750
