epoch	flux
54423.727304	39071.5546875
54423.733230	39280.3164062
54423.739157	39142.6679688
54423.745083	39579.8476562
54423.751009	39309.1562500
54423.756936	39192.6523438
54423.762862	39023.6250000
54423.768788	39174.8242188
54423.774715	39272.0625000
54423.780641	39290.1250000
54423.786567	39261.5468750
54423.792493	39309.9921875
54423.798420	39200.4960938
54423.804346	39258.9804688
54423.810272	39315.4960938
54423.816199	39410.1523438
54423.822125	39242.7304688
54423.828051	39366.2070312
54423.833978	39442.2968750
54423.839904	39149.9804688
54423.845830	39728.6601562
54423.851757	39183.0898438
54423.857683	39624.7265625
54423.863609	39630.0820312
54423.869536	39118.6875000
54423.875462	39386.5429688
54423.881388	39178.0000000
54423.887315	39285.7421875
54423.893241	39377.4804688
54423.899167	39399.7539062
54423.905094	39395.4609375
54423.911020	39282.9218750
54423.916946	39314.5078125
54423.922873	39217.9296875
54423.928799	39450.5390625
54423.934725	39195.8281250
54423.940652	39508.0898438
54423.946578	39176.8554688
54423.952504	39259.1289062
54423.958431	39134.9960938
54423.964357	39060.1328125
54423.970283	39272.0625000
54423.976210	39314.0585938
54423.982136	39241.5976562
54423.988062	39331.3867188
54423.993989	39235.8046875
54423.999915	39363.0351562
54424.005841	39372.6953125
54424.011768	39179.5234375
54424.017694	39351.8281250
54424.023620	39164.1171875
54424.029547	39349.6757812
54424.035473	39249.4023438
54424.041399	39254.9101562
54424.047326	39180.0625000
54424.053252	39210.2695312
54424.059178	39332.7617188
54424.065105	39188.4257812
54424.071031	39144.1328125
54424.076957	39118.0000000
54424.082884	39220.6953125
54424.088810	39303.0937500
54424.094736	39042.2109375
54424.100662	39290.0273438
54424.106589	39125.9726562
54424.112515	39070.0898438
54424.118441	39055.8359375
54424.124368	39162.4726562
54424.130294	39011.2500000
54424.136220	39071.9140625
54424.142147	39007.9179688
54424.148073	38899.1718750
54424.153999	39151.4726562
54424.159926	38859.9257812
54424.165852	39028.0820312
54424.171778	39176.9648438
54424.177705	38985.2890625
54424.183631	39093.0937500
54424.189557	38799.5898438
54424.195484	38948.7812500
54424.201410	38804.4726562
54424.207336	38734.7851562
54424.213263	39102.8554688
54424.219189	38912.6875000
54424.225115	38732.0859375
54424.231042	38802.2656250
