epoch	flux
54397.442730	26666.4726562
54397.448656	26815.4453125
54397.454583	26631.1250000
54397.460509	26772.1367188
54397.466436	26586.7871094
54397.472362	26782.4531250
54397.478288	26729.3105469
54397.484215	26861.1425781
54397.490141	26553.6503906
54397.496068	26759.2910156
54397.501994	26703.8828125
54397.507921	26603.3554688
54397.513847	26723.5214844
54397.519774	26735.5585938
54397.525700	26741.5117188
54397.531627	26618.9277344
54397.537553	26527.3242188
54397.543479	26625.6093750
54397.549406	26584.5546875
54397.555332	26499.6035156
54397.561259	26721.9375000
54397.567185	26779.8847656
54397.573112	26641.0996094
54397.579038	26717.9042969
54397.584965	26837.2773438
54397.590891	26693.9062500
54397.596817	26794.0390625
54397.602744	26819.1855469
54397.608670	26576.5722656
54397.614597	26652.8085938
54397.620523	26740.2773438
54397.626450	26797.1875000
54397.632376	26841.6894531
54397.638303	26703.5390625
54397.644229	26667.9511719
54397.650156	26750.5195312
54397.656082	26726.3398438
54397.662008	26728.6054688
54397.667935	26835.7226562
54397.673861	26782.1406250
54397.679788	26736.9960938
54397.685714	26807.6074219
54397.691641	26575.0351562
54397.697567	26797.8437500
54397.703494	26756.8828125
54397.709420	26740.1445312
54397.715347	27020.0429688
54397.721273	26598.9355469
54397.727199	26628.6406250
54397.733126	26737.2929688
54397.739052	26674.8886719
54397.744979	26764.8632812
54397.750905	26758.7109375
54397.756832	26605.4472656
54397.762758	26676.7519531
54397.768685	26790.8066406
54397.774611	26654.9492188
54397.780537	26779.1425781
54397.786464	26775.6054688
54397.792390	26829.6152344
54397.798317	27093.0078125
54397.804243	26788.6933594
54397.810170	26676.8359375
54397.816096	26762.3730469
54397.822023	26595.7597656
54397.827949	26679.2304688
54397.833875	26615.6855469
54397.839802	26744.9589844
54397.845728	26609.6933594
54397.851655	26751.0429688
54397.857581	26704.0937500
54397.863508	26777.2246094
54397.869434	26661.4609375
54397.875361	26682.2050781
54397.881287	26833.6738281
54397.887214	26802.7636719
54397.893140	27037.3359375
54397.899066	26561.3007812
54397.904993	26517.3984375
54397.910919	26786.5117188
54397.916846	26788.6816406
54397.922772	26730.8300781
54397.928699	26785.1035156
54397.934625	26715.2578125
54397.940552	26708.4843750
54397.946478	26740.4726562
54397.952405	26726.0664062
54397.958331	26773.7578125
54397.964257	26775.3515625
54397.970184	26852.0507812
54397.976110	26646.7929688
54397.982037	26738.6523438
54397.987963	26728.3789062
54397.993890	26688.5625000
54397.999816	26877.5625000
54398.005743	26718.8984375
54398.011669	26619.3769531
54398.017595	26875.0957031
54398.023522	26548.3769531
54398.029448	26634.9589844
54398.035375	26898.4121094
54398.041301	26611.1093750
54398.047228	26671.5703125
54398.053154	26800.9238281
54398.059081	26685.2050781
54398.065007	26645.6914062
54398.070933	26685.4882812
54398.076860	26701.1738281
54398.082786	26693.6308594
54398.088713	26696.8203125
54398.094639	26726.5175781
54398.100566	26535.9453125
54398.106492	26632.9609375
54398.112419	26823.8632812
54398.118345	26627.1582031
54398.124272	26478.1386719
54398.130198	26750.3105469
54398.136124	26633.2246094
54398.142051	26737.0996094
54398.147977	26651.3359375
54398.153904	26561.9160156
54398.159830	26624.2851562
54398.165757	26627.8066406
54398.171683	26732.9511719
54398.177610	26547.1621094
54398.183536	26710.2304688
54398.189462	26580.8105469
54398.195389	26848.8906250
54398.201315	26716.5039062
54398.207242	26648.5839844
54398.213168	26762.2773438
54398.219095	26755.0800781
54398.225021	26666.0234375
54398.230948	26666.8945312
54398.236874	26654.3964844
54398.242801	26756.9882812
54398.248727	26722.9453125
54398.254653	26786.1210938
54398.260580	26805.3222656
54398.266506	26763.9414062
54398.272433	26743.7148438
54398.278359	26858.6054688
54398.284286	26714.1250000
54398.290212	26929.2558594
54398.296139	26458.7421875
54398.302065	26684.9394531
54398.307991	26628.0175781
54398.313918	26629.2578125
54398.319844	26698.0917969
54398.325771	26782.2636719
54398.331697	26842.2792969
54398.337624	26790.4843750
54398.343550	26785.5429688
54398.349477	26787.7089844
54398.355403	26799.9765625
54398.361330	26986.0390625
54398.367256	26780.2500000
54398.373182	26576.3652344
54398.379109	26754.5761719
54398.385035	26762.6093750
54398.390962	26640.1210938
54398.396888	26780.4179688
54398.402815	26692.8046875
54398.408741	26728.7480469
54398.414668	26814.5000000
54398.420594	26671.8027344
54398.426520	26795.1777344
54398.432447	26669.1894531
54398.438373	26777.6308594
54398.444300	26716.0136719
54398.450226	26689.9785156
54398.456153	26735.6445312
54398.462079	26754.9433594
54398.468006	26698.3378906
54398.473932	26650.4316406
54398.479858	26571.8242188
54398.485785	26745.0800781
54398.491711	26720.1914062
54398.497638	26780.1972656
54398.503564	26558.5253906
54398.509491	26700.9121094
54398.515417	26599.2910156
54398.521344	26868.5312500
54398.527270	26705.4765625
54398.533197	26779.1953125
54398.539123	26790.7734375
54398.545049	26831.1699219
54398.550976	26533.3007812
54398.556902	26624.3359375
54398.562829	26768.4570312
54398.568755	26888.4433594
54398.574682	26701.0917969
54398.580608	26823.8652344
54398.586535	26567.0136719
54398.592461	26709.9980469
54398.598387	26781.7890625
54398.604314	26745.0253906
54398.610240	26895.6171875
54398.616167	26495.4257812
54398.622093	26627.8281250
54398.628020	26743.0996094
54398.633946	26565.9863281
54398.639873	26581.6210938
54398.645799	26604.4238281
54398.651725	26562.6445312
54398.657652	26575.0664062
54398.663578	27056.5332031
54398.669505	26725.0507812
54398.675431	26769.5156250
54398.681358	26608.3593750
54398.687284	26742.0195312
54398.693211	26724.4375000
54398.699137	26806.4199219
54398.705063	26780.4199219
54398.710990	26733.1699219
54398.716916	26993.8222656
54398.722843	26800.2753906
54398.728769	26783.5507812
54398.734696	26638.8828125
54398.740622	26750.6835938
54398.746549	26798.9257812
54398.752475	26771.6250000
54398.758402	26545.2578125
54398.764328	26678.3710938
54398.770254	26768.5527344
54398.776181	26491.0781250
54398.782107	26690.8437500
54398.788034	26729.0351562
54398.793960	26721.3300781
54398.799887	26639.9003906
54398.805813	26751.0097656
54398.811740	27099.7968750
54398.817666	26803.2167969
54398.823592	26672.5136719
54398.829519	26769.4531250
54398.835445	26680.7050781
54398.841372	26893.0800781
54398.847298	26682.5410156
54398.853225	26821.9101562
54398.859151	26800.2285156
54398.865078	26742.9707031
54398.871004	26629.2382812
54398.876930	26748.3417969
54398.882857	26704.6582031
54398.888783	26770.9492188
54398.894710	26705.3105469
54398.900636	26671.7167969
54398.906563	26729.6601562
54398.912489	26790.1132812
54398.918416	26739.0859375
54398.924342	26771.4550781
54398.930268	26731.5273438
54398.936195	26656.3496094
54398.942121	26677.5253906
54398.948048	26682.7304688
54398.953974	26682.6171875
54398.959901	26725.5390625
54398.965827	26708.4238281
54398.971754	26522.9941406
54398.977680	26483.1289062
54398.983606	26711.9101562
54398.989533	26702.7617188
54398.995459	26759.9433594
54399.001386	26694.4082031
54399.007312	26794.6464844
54399.013239	26572.3398438
54399.019165	26874.5917969
54399.025092	26664.5625000
54399.031018	26681.8632812
54399.036945	26824.4257812
54399.042871	26652.1582031
54399.048797	26645.2910156
54399.054724	26650.2500000
54399.060650	26733.8007812
54399.066577	26749.5039062
54399.072503	26725.1171875
54399.078430	26771.1093750
54399.084356	26938.5585938
54399.090283	26595.9121094
54399.096209	27005.9218750
54399.102135	26719.9062500
54399.108062	26649.0488281
54399.113988	26532.5488281
