epoch	flux
54397.442735	838887.1250000
54397.448662	839107.3125000
54397.454588	838923.5000000
54397.460515	838954.3125000
54397.466441	838569.3750000
54397.472367	838652.4375000
54397.478294	839186.2500000
54397.484220	838325.5000000
54397.490147	838284.9375000
54397.496073	838963.8125000
54397.502000	838775.0000000
54397.507926	838259.5000000
54397.513853	837744.1875000
54397.519779	838204.4375000
54397.525705	837859.2500000
54397.531632	838017.0625000
54397.537558	837610.5000000
54397.543485	837278.1875000
54397.549411	837972.8125000
54397.555338	836887.0625000
54397.561264	837022.7500000
54397.567191	837395.1250000
54397.573117	837023.6875000
54397.579043	836555.3750000
54397.584970	835797.1250000
54397.590896	836727.1250000
54397.596823	835997.6250000
54397.602749	836010.9375000
54397.608676	835974.1875000
54397.614602	835593.9375000
54397.620529	836615.2500000
54397.626455	835769.6875000
54397.632381	835678.0625000
54397.638308	834911.1875000
54397.644234	834971.0000000
54397.650161	835164.6875000
54397.656087	834371.2500000
54397.662014	834329.7500000
54397.667940	834440.9375000
54397.673867	833970.7500000
54397.679793	834179.5000000
54397.685720	834113.1250000
54397.691646	833535.2500000
54397.697572	833830.3750000
54397.703499	833547.3125000
54397.709425	833239.3125000
54397.715352	833482.7500000
54397.721278	832615.0000000
54397.727205	832774.5000000
54397.733131	832605.5000000
54397.739058	832530.0000000
54397.744984	832306.0000000
54397.750910	832697.6250000
54397.756837	831435.1875000
54397.762763	831920.7500000
54397.768690	831858.6875000
54397.774616	832244.6250000
54397.780543	831820.3125000
54397.786469	832101.3125000
54397.792396	831589.0625000
54397.798322	831067.6250000
54397.804248	831283.6875000
54397.810175	831025.8125000
54397.816101	831607.1250000
54397.822028	831160.8125000
54397.827954	830979.8125000
54397.833881	830953.9375000
54397.839807	831482.5000000
54397.845734	831162.1250000
54397.851660	830999.3750000
54397.857586	831545.9375000
54397.863513	830771.5000000
54397.869439	831106.1875000
54397.875366	830766.0000000
54397.881292	831249.3750000
54397.887219	830666.0625000
54397.893145	831387.6250000
54397.899072	830533.3125000
54397.904998	830669.0625000
54397.910924	830637.6875000
54397.916851	830479.5625000
54397.922777	830784.7500000
54397.928704	831201.0625000
54397.934630	830961.0625000
54397.940557	830807.5625000
54397.946483	830670.5625000
54397.952410	830159.6875000
54397.958336	831346.1875000
54397.964263	831305.0625000
54397.970189	830471.8125000
54397.976115	830805.6250000
54397.982042	830785.1875000
54397.987968	830802.8750000
54397.993895	830905.8750000
54397.999821	831014.6875000
54398.005748	831140.1875000
54398.011674	830799.9375000
54398.017601	830955.8125000
54398.023527	831262.4375000
54398.029453	831625.4375000
54398.035380	831418.6875000
54398.041306	830974.0000000
54398.047233	831516.8125000
54398.053159	831715.1250000
54398.059086	832083.6875000
54398.065012	832021.1250000
54398.070939	832126.1875000
54398.076865	832132.3750000
54398.082791	832316.5000000
54398.088718	831919.0000000
54398.094644	832829.4375000
54398.100571	832201.8750000
54398.106497	832855.3750000
54398.112424	832151.0625000
54398.118350	832853.1250000
54398.124277	832233.8750000
54398.130203	832451.9375000
54398.136129	832384.2500000
54398.142056	832899.6875000
54398.147982	832954.6875000
54398.153909	832722.0625000
54398.159835	832830.6250000
54398.165762	833106.6250000
54398.171688	833460.5000000
54398.177615	833132.6250000
54398.183541	835659.4375000
54398.189467	833527.9375000
54398.195394	833837.0625000
54398.201320	834421.1250000
54398.207247	834470.4375000
54398.213173	834656.1250000
54398.219100	834875.0625000
54398.225026	834322.8750000
54398.230953	835042.5000000
54398.236879	834391.7500000
54398.242805	835910.3125000
54398.248732	835084.6250000
54398.254658	835744.1250000
54398.260585	835478.8750000
54398.266511	835752.0000000
54398.272438	836118.7500000
54398.278364	836010.3125000
54398.284291	836673.4375000
54398.290217	836994.6250000
54398.296144	836532.3125000
54398.302070	836589.6250000
54398.307996	836517.4375000
54398.313923	836784.6875000
54398.319849	837259.7500000
54398.325776	836849.1875000
54398.331702	837239.5625000
54398.337629	837448.6875000
54398.343555	837808.3125000
54398.349482	838083.6250000
54398.355408	837300.1250000
