epoch	flux
54397.442660	1298933.0000000
54397.448586	1299280.5000000
54397.454513	1299596.2500000
54397.460439	1299758.5000000
54397.466365	1299624.3750000
54397.472292	1299748.3750000
54397.478218	1299486.5000000
54397.484145	1299753.6250000
54397.490071	1298783.1250000
54397.495998	1299910.3750000
54397.501924	1299832.1250000
54397.507851	1299358.7500000
54397.513777	1299328.7500000
54397.519704	1299465.6250000
54397.525630	1299186.0000000
54397.531556	1299369.6250000
54397.537483	1300030.1250000
54397.543409	1299323.2500000
54397.549336	1299228.1250000
54397.555262	1299898.1250000
54397.561189	1299240.1250000
54397.567115	1298983.0000000
54397.573042	1299310.6250000
54397.578968	1299914.2500000
54397.584894	1298838.5000000
54397.590821	1298739.6250000
54397.596747	1299382.0000000
54397.602674	1299621.0000000
54397.608600	1299012.5000000
54397.614527	1299191.2500000
54397.620453	1299354.2500000
54397.626380	1299182.3750000
54397.632306	1299881.2500000
54397.638232	1299182.7500000
54397.644159	1299245.1250000
54397.650085	1299877.5000000
54397.656012	1299687.8750000
54397.661938	1299207.0000000
54397.667865	1299335.3750000
54397.673791	1299473.3750000
54397.679718	1299084.2500000
54397.685644	1299157.7500000
54397.691570	1299482.8750000
54397.697497	1298656.8750000
54397.703423	1299284.0000000
54397.709350	1299192.3750000
54397.715276	1299422.3750000
54397.721203	1299143.0000000
54397.727129	1299709.6250000
54397.733056	1299000.8750000
54397.738982	1299878.6250000
54397.744908	1299621.5000000
54397.750835	1299000.7500000
54397.756761	1299277.7500000
54397.762688	1298964.5000000
54397.768614	1300063.5000000
54397.774541	1298862.8750000
54397.780467	1299536.7500000
54397.786394	1301425.3750000
54397.792320	1300242.1250000
54397.798246	1299359.0000000
54397.804173	1298725.0000000
54397.810099	1299106.0000000
54397.816026	1298747.1250000
54397.821952	1299031.6250000
54397.827879	1299280.7500000
54397.833805	1298417.7500000
54397.839732	1299883.2500000
54397.845658	1299014.2500000
54397.851585	1298826.3750000
54397.857511	1298951.7500000
54397.863437	1299100.2500000
54397.869364	1299050.5000000
54397.875290	1299283.6250000
54397.881217	1299256.6250000
54397.887143	1298972.7500000
54397.893070	1299007.7500000
54397.898996	1298863.7500000
54397.904923	1298455.2500000
54397.910849	1299823.2500000
54397.916775	1298688.5000000
54397.922702	1299411.3750000
54397.928628	1299159.5000000
54397.934555	1299599.8750000
54397.940481	1299204.8750000
54397.946408	1299093.3750000
54397.952334	1299446.5000000
54397.958261	1298215.3750000
54397.964187	1299996.8750000
54397.970113	1298290.8750000
54397.976040	1299109.3750000
54397.981966	1298970.3750000
54397.987893	1299035.8750000
54397.993819	1299196.8750000
54397.999746	1298892.2500000
54398.005672	1299812.5000000
54398.011599	1298580.0000000
54398.017525	1299219.0000000
54398.023451	1298425.7500000
54398.029378	1298477.8750000
54398.035304	1299510.7500000
54398.041231	1299031.0000000
54398.047157	1298524.0000000
54398.053084	1298983.5000000
54398.059010	1298667.6250000
54398.064937	1298347.1250000
54398.070863	1299032.3750000
54398.076789	1298724.7500000
54398.082716	1298723.5000000
54398.088642	1298822.2500000
54398.094569	1299426.3750000
54398.100495	1298395.1250000
54398.106422	1299095.8750000
54398.112348	1298448.5000000
54398.118275	1299194.8750000
54398.124201	1298778.8750000
54398.130127	1298985.3750000
54398.136054	1298125.3750000
54398.141980	1298752.2500000
54398.147907	1299099.5000000
54398.153833	1298577.7500000
54398.159760	1299240.2500000
54398.165686	1299326.8750000
54398.171613	1298878.0000000
54398.177539	1298330.3750000
54398.183465	1298810.2500000
54398.189392	1298643.5000000
54398.195318	1299114.6250000
54398.201245	1298949.6250000
54398.207171	1298808.3750000
54398.213098	1299174.6250000
54398.219024	1299153.1250000
54398.224951	1298465.2500000
54398.230877	1297974.1250000
54398.236803	1298680.5000000
54398.242730	1298595.6250000
54398.248656	1298547.2500000
54398.254583	1298361.6250000
54398.260509	1298546.5000000
54398.266436	1298663.1250000
54398.272362	1298698.7500000
54398.278289	1298749.8750000
54398.284215	1299026.6250000
54398.290141	1298822.5000000
54398.296068	1298587.2500000
54398.301994	1298310.8750000
54398.307921	1298055.7500000
54398.313847	1298319.7500000
54398.319774	1298784.1250000
54398.325700	1298326.8750000
54398.331627	1298351.8750000
54398.337553	1298689.2500000
54398.343479	1299200.6250000
54398.349406	1298486.8750000
54398.355332	1298811.3750000
54398.361259	1299180.7500000
54398.367185	1299054.8750000
54398.373112	1299497.2500000
54398.379038	1298886.3750000
54398.384965	1298268.2500000
54398.390891	1298148.1250000
54398.396817	1298815.7500000
54398.402744	1298454.5000000
54398.408670	1298448.6250000
54398.414597	1298776.6250000
54398.420523	1298953.0000000
54398.426450	1298353.6250000
54398.432376	1298679.3750000
54398.438303	1298383.3750000
54398.444229	1298945.5000000
54398.450155	1298335.2500000
54398.456082	1298315.3750000
54398.462008	1297963.5000000
54398.467935	1298400.1250000
54398.473861	1297789.6250000
54398.479788	1298298.8750000
54398.485714	1298643.8750000
54398.491641	1297964.7500000
54398.497567	1298810.6250000
54398.503493	1298424.7500000
54398.509420	1298764.7500000
54398.515346	1298522.2500000
54398.521273	1298864.3750000
54398.527199	1298372.7500000
54398.533126	1298605.0000000
54398.539052	1298506.0000000
54398.544979	1298106.5000000
54398.550905	1298228.7500000
54398.556831	1297794.0000000
54398.562758	1300011.3750000
54398.568684	1298144.6250000
54398.574611	1299300.3750000
54398.580537	1299262.5000000
54398.586464	1298414.0000000
54398.592390	1298156.8750000
54398.598317	1299848.8750000
54398.604243	1298641.1250000
54398.610169	1298048.7500000
54398.616096	1302293.7500000
54398.622022	1298098.2500000
54398.627949	1299298.2500000
54398.633875	1299094.1250000
54398.639802	1297908.5000000
54398.645728	1298708.3750000
54398.651655	1298719.0000000
54398.657581	1297655.6250000
54398.663507	1298407.0000000
54398.669434	1298329.0000000
54398.675360	1298246.8750000
54398.681287	1298386.5000000
54398.687213	1297427.6250000
54398.693140	1297667.3750000
54398.699066	1299086.8750000
54398.704993	1297775.0000000
54398.710919	1297901.2500000
54398.716845	1298046.5000000
54398.722772	1298024.6250000
54398.728698	1298128.7500000
54398.734625	1298365.6250000
54398.740551	1297910.0000000
54398.746478	1297952.7500000
54398.752404	1298228.7500000
54398.758331	1298277.7500000
54398.764257	1297691.3750000
54398.770183	1298654.6250000
54398.776110	1299157.7500000
54398.782036	1298768.0000000
54398.787963	1298193.2500000
54398.793889	1298237.8750000
54398.799816	1297994.0000000
54398.805742	1297570.2500000
54398.811669	1298030.3750000
54398.817595	1297788.0000000
54398.823521	1297862.3750000
54398.829448	1298475.1250000
54398.835374	1297949.3750000
54398.841301	1299015.7500000
54398.847227	1298343.0000000
54398.853154	1298075.7500000
54398.859080	1298654.7500000
54398.865007	1297773.3750000
54398.870933	1298709.0000000
54398.876859	1297612.8750000
54398.882786	1298271.2500000
54398.888712	1298717.1250000
54398.894639	1297830.1250000
54398.900565	1297421.3750000
54398.906492	1298656.5000000
54398.912418	1297986.5000000
54398.918345	1297179.0000000
54398.924271	1297921.7500000
54398.930197	1298446.5000000
54398.936124	1297853.6250000
54398.942050	1298083.2500000
54398.947977	1297363.5000000
54398.953903	1298576.2500000
54398.959830	1297360.8750000
54398.965756	1297837.8750000
54398.971683	1298269.3750000
54398.977609	1297328.6250000
54398.983535	1297624.3750000
54398.989462	1297610.7500000
54398.995388	1297783.3750000
54399.001315	1297756.8750000
54399.007241	1298193.7500000
54399.013168	1297961.3750000
54399.019094	1297424.6250000
54399.025021	1297325.0000000
54399.030947	1297167.1250000
54399.036873	1297717.8750000
54399.042800	1296966.3750000
54399.048726	1299027.2500000
54399.054653	1298010.3750000
54399.060579	1297139.8750000
54399.066506	1297222.6250000
54399.072432	1297872.8750000
54399.078359	1298219.7500000
54399.084285	1298221.6250000
54399.090211	1298105.5000000
54399.096138	1298270.7500000
54399.102064	1297691.5000000
54399.107991	1297581.6250000
54399.113917	1297540.5000000
54399.119844	1298936.1250000
54399.125770	1298121.7500000
54399.131696	1297697.6250000
54399.137623	1297092.6250000
54399.143549	1297678.2500000
54399.149476	1297832.8750000
54399.155402	1297254.1250000
54399.161329	1298553.0000000
54399.167255	1297786.1250000
54399.173182	1298625.1250000
54399.179108	1298212.0000000
54399.185034	1298087.2500000
54399.190961	1302326.0000000
54399.196887	1298321.5000000
54399.202814	1297741.8750000
54399.208740	1297364.7500000
54399.214667	1298087.2500000
54399.220593	1298005.2500000
54399.226520	1298690.1250000
54399.232446	1303686.0000000
54399.238372	1297781.2500000
54399.244299	1298102.7500000
54399.250225	1297726.1250000
54399.256152	1299877.5000000
54399.262078	1305719.6250000
54399.268005	1297854.7500000
54399.273931	1297489.5000000
54399.279858	1297192.5000000
54399.285784	1297364.8750000
54399.291710	1298036.6250000
54399.297637	1300632.2500000
54399.303563	1301424.1250000
54399.309490	1297629.7500000
54399.315416	1298484.5000000
54399.321343	1297434.5000000
54399.327269	1297783.5000000
54399.333196	1299271.2500000
54399.339122	1297597.1250000
54399.345048	1298213.0000000
54399.350975	1297422.1250000
54399.356901	1297248.5000000
54399.362828	1297932.3750000
54399.368754	1299464.5000000
54399.374681	1300322.1250000
54399.380607	1297938.8750000
54399.386534	1298129.6250000
54399.392460	1297356.2500000
54399.398386	1298373.8750000
54399.404313	1298369.7500000
54399.410239	1297621.5000000
54399.416166	1298086.8750000
54399.422092	1297371.6250000
54399.428019	1297275.8750000
54399.433945	1297636.8750000
54399.439871	1298586.0000000
54399.445798	1298844.3750000
54399.451724	1297720.5000000
54399.457651	1297740.1250000
54399.463577	1297272.2500000
54399.469504	1297693.5000000
54399.475430	1298230.8750000
54399.481357	1297550.3750000
54399.487283	1298541.3750000
54399.493209	1297455.7500000
54399.499136	1298309.8750000
54399.505062	1297796.0000000
54399.510989	1297771.8750000
54399.516915	1297565.7500000
54399.522842	1297557.3750000
54399.528768	1298243.1250000
54399.534695	1297256.5000000
54399.540621	1297527.6250000
54399.546547	1297628.3750000
54399.552474	1297668.3750000
54399.558400	1298866.8750000
54399.564327	1297657.7500000
54399.570253	1297119.5000000
54399.576180	1297897.7500000
54399.582106	1297780.5000000
54399.588033	1297540.0000000
54399.593959	1297563.7500000
54399.599885	1297346.8750000
54399.605812	1297576.1250000
54399.611738	1297015.2500000
54399.617665	1297818.5000000
54399.623591	1298654.8750000
54399.629518	1298133.3750000
54399.635444	1297895.3750000
54399.641370	1297884.6250000
54399.647297	1298385.0000000
54399.653223	1297620.2500000
54399.659150	1297621.6250000
54399.665076	1297826.2500000
54399.671003	1297272.3750000
54399.676929	1296976.2500000
54399.682856	1298340.2500000
54399.688782	1297704.3750000
54399.694708	1298707.5000000
54399.700635	1298228.2500000
54399.706561	1297444.2500000
54399.712488	1297952.5000000
54399.718414	1297374.8750000
54399.724341	1297355.2500000
54399.730267	1297716.3750000
54399.736194	1297367.6250000
54399.742120	1297681.7500000
54399.748046	1297314.3750000
54399.753973	1298238.2500000
54399.759899	1297214.7500000
54399.765826	1297269.1250000
54399.771752	1297674.8750000
54399.777679	1297384.8750000
54399.783605	1298137.6250000
54399.789531	1297257.5000000
54399.795458	1297709.6250000
54399.801384	1297718.6250000
54399.807311	1297850.1250000
54399.813237	1297677.7500000
54399.819164	1297388.5000000
54399.825090	1297761.2500000
54399.831017	1298048.2500000
54399.836943	1298538.3750000
54399.842869	1297629.0000000
54399.848796	1297809.1250000
54399.854722	1297581.7500000
54399.860649	1297617.5000000
54399.866575	1298281.1250000
