epoch	flux
54397.442758	290364.2187500
54397.448684	290245.6250000
54397.454610	290537.6875000
54397.460537	290315.2812500
54397.466463	290106.8437500
54397.472390	290274.0000000
54397.478316	290154.1562500
54397.484243	290141.0937500
54397.490169	290670.7812500
54397.496096	290380.0000000
54397.502022	290486.4375000
54397.507949	290802.4687500
54397.513875	290085.0000000
54397.519801	290198.3750000
54397.525728	290622.3750000
54397.531654	290523.6250000
54397.537581	290460.2812500
54397.543507	290865.3437500
54397.549434	290796.5625000
54397.555360	290612.2812500
54397.561287	290277.6250000
54397.567213	290658.1250000
54397.573140	290790.4062500
54397.579066	290657.3437500
54397.584992	290504.5625000
54397.590919	290851.8437500
54397.596845	291085.5625000
54397.602772	291264.7500000
54397.608698	290870.5625000
54397.614625	290741.1250000
54397.620551	291637.7187500
54397.626478	291360.1875000
54397.632404	290721.5937500
54397.638330	291222.5000000
54397.644257	290680.0000000
54397.650183	290808.0000000
54397.656110	291063.8437500
54397.662036	291202.6562500
54397.667963	291240.9062500
54397.673889	291431.7500000
54397.679816	291348.4375000
54397.685742	290983.5000000
54397.691669	290988.2812500
54397.697595	291394.6250000
54397.703521	291756.9062500
54397.709448	291456.7812500
54397.715374	291644.1875000
54397.721301	291465.9062500
54397.727227	291241.4375000
54397.733154	291420.8750000
54397.739080	291442.3750000
54397.745007	291647.1250000
54397.750933	291748.4687500
54397.756860	291502.3125000
54397.762786	291155.8437500
54397.768712	291552.8750000
54397.774639	291878.6875000
54397.780565	291664.2187500
54397.786492	291567.5937500
54397.792418	291607.2500000
54397.798345	291120.7812500
54397.804271	292306.0000000
54397.810198	291632.0000000
54397.816124	291594.3750000
54397.822050	291601.4375000
54397.827977	291935.7187500
54397.833903	291902.9687500
54397.839830	291455.0312500
54397.845756	291561.4062500
54397.851683	291582.7187500
54397.857609	291786.8750000
54397.863536	291991.8750000
54397.869462	291879.5000000
54397.875389	291869.1562500
54397.881315	291817.4062500
54397.887241	291928.4062500
54397.893168	291957.9062500
54397.899094	291454.9062500
54397.905021	291602.0625000
54397.910947	292070.9375000
54397.916874	292282.1875000
54397.922800	291707.2812500
54397.928727	291825.9375000
54397.934653	291921.0937500
54397.940580	291950.8437500
54397.946506	292017.2500000
54397.952432	292203.4062500
54397.958359	291670.0625000
54397.964285	292014.0312500
54397.970212	291761.3750000
54397.976138	292018.7500000
54397.982065	292067.3125000
54397.987991	292100.1562500
54397.993918	292158.5937500
54397.999844	292363.0000000
54398.005770	292068.6875000
54398.011697	292076.3750000
54398.017623	291944.6562500
54398.023550	292264.3437500
54398.029476	292631.5000000
54398.035403	291948.4375000
54398.041329	292901.5937500
54398.047256	292317.5937500
54398.053182	292220.3750000
54398.059109	292206.2812500
54398.065035	292266.5000000
54398.070961	292218.7500000
54398.076888	292100.4062500
54398.082814	291758.8125000
54398.088741	292099.8437500
54398.094667	292408.3750000
54398.100594	292176.1562500
54398.106520	291827.9375000
54398.112447	292276.7812500
54398.118373	292366.4375000
54398.124299	292055.9687500
54398.130226	292158.5937500
54398.136152	291974.5000000
54398.142079	292447.3750000
54398.148005	292301.5312500
54398.153932	292152.4062500
54398.159858	292063.5625000
54398.165785	291922.8437500
54398.171711	292108.0937500
54398.177638	292775.5937500
54398.183564	292420.3750000
54398.189490	292061.4375000
54398.195417	292394.6250000
54398.201343	292198.1875000
54398.207270	292462.9375000
54398.213196	292224.7187500
54398.219123	292208.8125000
54398.225049	292569.6562500
54398.230976	292298.4062500
54398.236902	292629.6562500
54398.242829	292338.8437500
54398.248755	292302.0000000
54398.254681	292440.4375000
54398.260608	292618.9687500
54398.266534	292434.3437500
54398.272461	292187.8125000
54398.278387	292257.3125000
54398.284314	292532.9687500
54398.290240	292095.6562500
54398.296167	292042.0000000
54398.302093	292273.0312500
54398.308019	291653.9687500
54398.313946	292223.5312500
54398.319872	292175.0625000
54398.325799	292447.0937500
54398.331725	292295.0937500
54398.337652	292263.5312500
54398.343578	292255.5625000
54398.349505	292361.5000000
54398.355431	292023.1562500
54398.361358	292078.1875000
54398.367284	292853.2187500
54398.373210	292032.1250000
54398.379137	292123.1562500
54398.385063	292307.6250000
54398.390990	291927.0625000
54398.396916	292157.0937500
54398.402843	292017.8750000
54398.408769	291765.8125000
54398.414696	292547.2500000
54398.420622	291575.1250000
54398.426548	292126.2812500
54398.432475	292019.7812500
54398.438401	291834.5312500
54398.444328	291915.8125000
54398.450254	291695.1875000
54398.456181	291925.1562500
54398.462107	292108.2187500
54398.468034	291766.7812500
54398.473960	291957.1875000
54398.479886	291456.3125000
54398.485813	291455.1875000
54398.491739	292132.2812500
54398.497666	291762.0000000
54398.503592	291532.3125000
54398.509519	292012.3750000
54398.515445	291836.5312500
54398.521372	292156.8437500
54398.527298	291834.6250000
54398.533225	291742.5937500
54398.539151	291765.5937500
54398.545077	292592.5625000
54398.551004	291565.4062500
54398.556930	291239.0312500
54398.562857	291915.4687500
54398.568783	292196.5937500
54398.574710	291659.1875000
54398.580636	292099.2187500
54398.586563	291294.9062500
54398.592489	291613.7500000
54398.598415	291657.2187500
54398.604342	291765.3437500
54398.610268	291366.2187500
54398.616195	291271.5312500
54398.622121	291494.9687500
54398.628048	291130.9375000
54398.633974	291040.3437500
54398.639901	291168.0937500
54398.645827	290952.7500000
54398.651754	290882.1562500
54398.657680	291364.9375000
54398.663606	291018.5625000
54398.669533	291381.9375000
54398.675459	291432.6875000
54398.681386	291354.5937500
54398.687312	291027.5312500
54398.693239	291369.7812500
54398.699165	291515.7187500
54398.705092	291238.7500000
54398.711018	291221.0937500
54398.716944	291252.5000000
54398.722871	291016.5312500
