epoch	flux
54236.757568	714028.1250000
54236.763494	714283.4375000
54236.769421	714391.5000000
54236.775347	714393.3750000
54236.781273	714391.5625000
54236.787200	714943.9375000
54236.793126	714561.0625000
54236.799053	714816.6875000
54236.804979	714466.3750000
54236.810906	714513.3750000
54236.816832	714947.1875000
54236.822758	715045.5625000
54236.828685	715208.1875000
54236.834611	714343.1250000
54236.840538	715140.0625000
54236.846464	714599.1250000
54236.852390	715377.2500000
54236.858317	715244.3750000
54236.864243	714676.6250000
54236.870170	714920.8125000
54236.876096	715295.5000000
54236.882022	715357.7500000
54236.887949	715530.6875000
54236.893875	715356.8750000
54236.899802	714678.5000000
54236.905728	715413.0625000
54236.911655	715463.8125000
54236.917581	715141.3125000
54236.923507	715311.1250000
54236.929434	715380.3750000
54236.935360	715634.4375000
54236.941287	715215.3125000
54236.947213	715925.4375000
54236.953139	715715.7500000
54236.959066	715498.2500000
54236.964992	716219.6250000
54236.970919	715888.3750000
54236.976845	716304.6250000
54236.982772	716008.2500000
54236.988698	716121.3125000
54236.994624	715811.3125000
54237.000551	716360.9375000
54237.006477	716217.3750000
54237.012404	716061.3125000
54237.018330	716679.0000000
54237.024256	716371.1250000
54237.030183	716390.5000000
54237.036109	716928.3125000
54237.042036	716343.8125000
54237.047962	716623.0625000
54237.053888	716986.3125000
54237.059815	716732.7500000
54237.065741	717270.6250000
54237.071668	717323.9375000
54237.077594	717261.6875000
54237.083521	717683.1250000
54237.089447	718305.6875000
54237.095373	717591.9375000
54237.101300	717011.8125000
54237.107226	717626.7500000
54237.113153	717851.1875000
54237.119079	717562.8125000
54237.125005	717885.8125000
54237.130932	717967.8750000
54237.136858	717855.4375000
54237.142785	717805.8125000
54237.148711	718408.0000000
54237.154638	718422.0625000
54237.160564	718933.8125000
54237.166490	718824.8750000
54237.172417	718789.0000000
54237.178343	718873.8750000
54237.184270	718826.0000000
54237.190196	718785.8750000
54237.196122	718687.6875000
54237.202049	719305.3750000
54237.207975	719276.5000000
54237.213902	719106.1250000
54237.219828	719221.0625000
54237.225754	719427.3125000
54237.231681	719859.2500000
54237.237607	719732.0000000
54237.243534	719599.5625000
54237.249460	720118.9375000
54237.255387	720382.6875000
54237.261313	719800.3750000
54237.267239	720055.7500000
54237.273166	720472.8750000
54237.279092	720943.8750000
54237.285019	720531.7500000
54237.290945	720574.5625000
54237.296871	720671.8750000
54237.302798	720933.8125000
54237.308724	720899.0625000
54237.314651	721078.0000000
54237.320577	721140.2500000
54237.326503	721448.7500000
54237.332430	721278.6250000
54237.338356	721388.2500000
54237.344283	722003.1250000
54237.350209	722298.7500000
54237.356136	721972.6875000
54237.362062	721530.0625000
54237.367988	722263.2500000
54237.373915	722051.8750000
54237.379841	722162.3125000
54237.385768	722157.8750000
54237.391694	721856.3750000
54237.397620	722228.6875000
54237.403547	722848.4375000
54237.409473	722442.5000000
54237.415400	722595.0625000
54237.421326	722773.7500000
54237.427253	722935.2500000
54237.433179	722519.1875000
54237.439105	722882.5625000
54237.445032	722803.1250000
54237.450958	723048.6250000
54237.456885	723362.8750000
54237.462811	723097.5000000
54237.468737	719554.0000000
54237.474664	714041.0625000
54237.480590	711949.8750000
54237.486517	711245.6250000
54237.492443	711238.5000000
54237.498369	708575.7500000
54237.504296	705186.9375000
54237.510222	703169.6250000
54237.516149	701771.8750000
54237.522075	701218.5625000
54237.528002	700938.1250000
54237.533928	701153.9375000
54237.539854	701450.2500000
54237.545781	701904.0625000
54237.551707	701932.6875000
54237.557634	705137.5000000
54237.563560	707659.1875000
54237.569486	710577.8750000
54237.575413	712477.3750000
54237.581339	715838.2500000
54237.587266	719031.5625000
54237.593192	720397.2500000
54237.599118	721544.3125000
54237.605045	722862.5625000
54237.610971	725240.4375000
54237.616898	725926.1250000
54237.622824	725608.6875000
54237.628750	726533.3125000
54237.634677	726821.6875000
54237.640603	727054.6875000
54237.646530	726268.0625000
54237.652456	725764.3125000
54237.658383	725723.0625000
54237.664309	726527.0000000
54237.670235	725910.3125000
54237.676162	725974.1875000
54237.682088	726067.0625000
54237.688015	726279.2500000
54237.693941	727164.6875000
54237.699867	726593.0000000
54237.705794	726285.9375000
54237.711720	726585.1875000
54237.717647	726730.7500000
54237.723573	726536.0000000
54237.729499	726929.8750000
54237.735426	726977.4375000
54237.741352	727605.3750000
54237.747279	727481.0000000
54237.753205	726507.2500000
54237.759132	727247.2500000
54237.765058	727412.5000000
54237.770984	727436.5625000
54237.776911	727788.1875000
54237.782837	727838.0625000
54237.788764	727760.1250000
54237.794690	727750.3750000
54237.800616	728084.3125000
54237.806543	727823.8750000
54237.812469	728211.8750000
54237.818396	727719.4375000
54237.824322	728280.8750000
54237.830248	729029.6875000
54237.836175	729489.9375000
54237.842101	728238.4375000
54237.848028	728605.8125000
54237.853954	728461.6875000
54237.859880	728896.7500000
54237.865807	728269.4375000
54237.871733	728768.7500000
54237.877660	731181.0625000
54237.883586	730051.9375000
54237.889513	728813.7500000
54237.895439	728407.3125000
54237.901365	728575.2500000
54237.907292	728641.5000000
54237.913218	729293.0000000
54237.919145	728823.8750000
54237.925071	729548.5625000
54237.930997	729117.8125000
54237.936924	729397.5000000
54237.942850	729163.0000000
54237.948777	728874.8125000
54237.954703	730136.1250000
54237.960629	729750.7500000
54237.966556	729471.7500000
54237.972482	729161.6875000
54237.978409	729140.8750000
54237.984335	729016.3750000
54237.990262	729981.8750000
